Nr	Data Type	Journal Formats	File Format	DataKind
32	Crystal Structure	CIF	CIF	Authors are required to provide crystallographic or surface structure data as Supporting Information in crystallographic information file (CIF) format
33	Device Characterisation	unspecified?	numbers, graphs	Batteries
34	Crystal Structure	unspecified?	CIF	Batteries. Crystal structure (organic / organometallic / metal organic), Inorganic and organometallic compounds
35	Crystal Structure	unspecified?	CIF	Batteries. Crystal structure (organic / organometallic / metal organic), nanomaterials
36	Images	unspecified?	JPG, TIFF	Bioimages, multidimensional life sciences image data (cell and tissue)
37	Assays	unspecified	numbers (?)	Biological Assays
38	Biological Data	bar graph, box-and-whisker plot, numbers	numbers, images, graphs, tables, descriptions	Biological Data
39	Specimen Description	text, numbers	images, descriptions	Biological Specimens
40	Macromolecule Structure		PDB, PDBx, mmCIF	Biomolecule Structures
41	Macromolecule Structure		PDB, PDBx, mmCIF	Biomolecules
42	Macromolecule Structure		PDB, PDBx, mmCIF	Biomolecules (for example, enzymes, proteins, DNA/RNA, oligosaccharides, oligonucleotides)
43	Neuroimaging Data		images, TIFF	Brain imaging data
44	Crystal Structure	CIF	CIF	CIF
45	Assays		formulae, SMILES, numbers	Catalysts
46	Organism Description		images, descriptions, IDs	Cell Lines and Microorganisms
47	Organism Description		images, descriptions, IDs	Cell lines: what cell lines were used by describing the source of the cell line, including when and from where it was obtained, whether the cell line has recently been authenticated and by what method
48	Computations		numbers, workflows	Changes in parameters, program options (e.g., dielectric constant, nonbonded cutoffs, etc.) affecting reproducibility of the calculation, and program constraints must be fully described in the article
49	Compound Characterisation		formulae, SMILES, numbers	Characterisation of compounds and materials
50	Compound Characterisation		formulae, SMILES, numbers	Characterization Data  (a) Routine Compounds
51	Compound Characterisation		formulae, SMILES, numbers	Characterization Data (a) Routine Compounds
52	Compound Characterisation		formulae, SMILES, numbers	Characterization of New Compounds
53	Compound Characterisation		formulae, SMILES, numbers	Characterization of New Substances
54	Compound Characterisation		formulae, SMILES, numbers	Characterization of Organic Compounds
55	Compound Characterisation		formulae, SMILES, numbers	Characterization of Organometallic and Inorganic Compounds
56	Structural Chem. Formulae	drawings	drawings, SMILES	ChemDraw or a related program images
57	NMR Chemical Shifts		numbers, vendor formats	Chemical shifts
58	NMR Chemical Shifts		numbers, vendor formats	Chemical shifts of nuclei 13C, 31P, etc.
59	NMR Chemical Shifts		numbers, vendor formats	Chemical shifts of nuclei 13C, 31P, etc., are given in accordance with IUPAC recommendations: a shift into the weak field with a “+;” and into a strong field, with a “–.” Signals are recorded in order of increasing δ values -
60	Climate Model		GIS data, climate data, images, CSV	Climate or Earth system research – climate model data
61	X-ray Imaging		images, HDF5	Coherent X-ray images
62	Combinatorial Chemistry		numbers, tables, CSV	Combinatorial Chemistry  Validation of methods and characterization of new substances in a statistically significant sampling
63	Chemical Data		numbers	Compound Characterization, Experimental
64	Chemical Data		workflows, source code	Compound Characterization, Computational Data
65	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational Chemistry
66	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational Chemistry Calculations
67	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational Reports
68	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational chemistry files
69	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational materials science
70	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational results
71	Chemical Data		workflows, source code, CIF, XYZ, SDF, CML, vendor formats	Computational studies and modelling
72	Computations		numbers, parameters, workflows	Computations
73	Software		source code	Computer Codes
74	Assays		numbers	Conditions essential to reproduce the results such as the temperature, pH, and pressure (if other than atmospheric) of the assay
75	Crystal Structure		CIF	Confirmation of Structure
76	Computations		numbers, parameters, workflows	Convergence criteria should be reported (e.g., energy change per iteration or energy gradient for geometry optimization of a single structure)
77	CryoEM Images		images, EMD, HDF5, vendor formats	CryoEM
78	Crystal Structure		CIF	Crystal Structure Studies
79	Macromolecule Structure		PDB, PDBx, mmCIF	Crystal structure (biological)
80	Crystal Structure		CIF	Crystal structure (inorganic)
81	Crystal Structure		CIF	Crystal structure (organic / organometallic / metal organic)
82	Crystal Structure		CIF	Crystal structure (powder)
83	Powder Diffractograms		CIF, CSV, graphs, vendor formats	Crystallographic Data (Powder)
84	Crystal Structure		CIF	Crystallographic data for small molecules
85	Macromolecule Sequences		FASTA, FASTQ	DNA & RNA sequence data
86	Macromolecule Sequences		FASTA, FASTQ	DNA and RNA trace or short-read sequencing data
87	Macromolecule Sequences		FASTA, FASTQ	DNA sequence data
88	Biological Data		images, descriptions, IDs	Data linking genotype to phenotype
89	Spectra		graphs, tables, CSV, vendor formats (?)	EPR
90	Electric Measurements		numbers, graphs	Electrochemistry Data
91	Diffraction Data		CIF, HKL (SHELIX), MTZ	Electron Diffraction
92	Molecular Structure		CIF, SDF, CML, XYZ, vendor formats	Electronically deposited structures should be written in a format that is machine readable by readily available modelling or translating programs
93	Gel Electrophoresis		images, TIFF, vendor formats	Electrophoretic gels and blots
94	Biological Data		images, descriptions, IDs	Environmental and ecological data
95	Assays		numbers	Enzymology and biocatalysis data
96	NMR Data	FID files	CSV, vendor formats	FID files, acquisition data, and processing parameters for each experiment
97	NMR Data		vendor formats	Name each spectrum according to the type of nucleus measured. 1H, 13C, DEPT, COSY, etc. NMR files should be compressed into zip files\u2014please use multiple zip files if necessary. Files must be submitted in their native format (jacs.yaml)
98	Magnetic Measurements	numbers	numbers, graphs, tables, CSV, vendor formats	Fits of magnetic data [χ(T), χ-1(T), χT(T), μ(T), M(H), etc.] to an analytical expression must include both the Hamiltonian from which the analytical expression is derived and the final analytical expression and fitting parameters
99	Flow Cytometry Data		CSV, tables, native formats	Flow cytometry data
100	Spectra		CSV, JCAMP-DX, vendor formats	Fluorescence sensors
101	HPLC Data	numbers	graphs, tables, CSV, vendor formats	For HPLC, it is necessary to indicate the brand and model of the instrument, the detector, temperature, length and diameter of the column, the brand and particle size of the sorbent, and the composition of the eluent
102	Elemental Analysis Data		tables, CSV	For all newly synthesized compounds, the elemental analysis data or high-resolution mass spectra should be provided
103	High-resolution MS		tables, CSV, graphs, vendor formats	For all newly synthesized compounds, the elemental analysis data or high-resolution mass spectra should be provided
104	Compound Purity		number	For new substances, evidence of the homogeneity the purified sample should be included
105	Crystal Structure		CIF	For non-racemic, chiral substances, data to allow correlation of absolute configuration should be given, preferably including [α]D values
106	Flack Parameter		number	For non-racemic, chiral substances, data to allow correlation of absolute configuration should be given, preferably including [α]D values
107	Optical Rotation		number	For non-racemic, chiral substances, data to allow correlation of absolute configuration should be given, preferably including [α]D values
108	Crystal Structure	figures	CIF, drawings	For structures with anisotropically refined atoms, a figure displaying the thermal ellipsoids
109	Assays		numbers, tables, CSV, graphs, vendor formats	Functional enzymology data (kinetic and experimental data)
110	Assays		numbers, tables, CSV, vendor formats	Functional genomics data
111	Assays		numbers, tables, CSV, images, vendor formats	Gene expression data
112	Assays		numbers, tables, CSV, images, vendor formats	Gene expression data, array- and sequence-based
113	Microarray Measurements		images, CSV, vendor formats	Gene expression data, array- and sequence-based
114	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	Genetic and genomic sequence (DNA/RNA)
115	Genetic Polymorphism Data		FASTA, CSV, tables, graphs, vendor formats	Genetic polymorphism data, including SNP and CNV data
116	Genetic Polymorphism Data		FASTA, CSV, tables, graphs, vendor formats	Genetic variation data
117	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	Genome assembly data
118	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	Genome sequence data
119	Geochemical Data		GIS data formats, images, CSV, tables	Geochemical, geochronological, and petrological data
120	Geochronological Data		GIS data formats, images, CSV, tables	Geochemical, geochronological, and petrological data
121	Petrological Data		GIS data formats, images, CSV, tables	Geochemical, geochronological, and petrological data
122	High-resolution MS		tables, CSV, graphs, vendor formats	HRMS (High Resolution Mass Spectroscopy? S.G.) data
123	High-resolution MS		tables, CSV, graphs, vendor formats	High Resolution Mass Spectral Data for Formula Confirmation: For publication of exact- mass data that are used to confirm identities of synthetic and natural products, report the uncertainty in the accurate-mass measurement used for formula verification along with the result
124	Functional Genomics Data		FASTA, FASTQ, Gene Bank, vendor formats, CSV, images	High-throughput functional genomics data
125	Genetic Polymorphism Data		FASTA, CSV, tables, graphs, vendor formats	Human genetic variation data (<=50bp), e.g. single-base nucleotide substitutions, small-scale deletion or insertions
126	Functional Genomics Data		FASTA, FASTQ, Gene Bank, vendor formats, CSV, images	Human geno- and phenotype data, epigenetics
127	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	Human geno- and phenotype data, epigenetics
128	Genetic Polymorphism Data		FASTA, CSV, tables, graphs, vendor formats	Human genomic structural variation data (>50bp)
129	Spectra (IR)		CSV, JCAMP-DX, vendor formats, SPC	IR / Raman
130	Spectra (Raman)		CSV, JCAMP-DX, vendor formats, SPC	IR / Raman
131	Spectra		numbers	IR spectroscopy may be used to support the presence of carbonyl, acyl, dinitrogen, carbonyl, and hydride moieties
132	Spectra		numbers	IR spectrum (summary? S.G.), ν, cm –1 : 3350 br (NH, NOH), 2100 o.s (C≡N), 1700–1600 s (C=O, C=N)
133	Crystal Structure		CIF	If possible, the crystal system should be specified
134	Computations		software versions, parameters, workflows	If the calculations were carried out with commercially available software, the investigator must list the source, version number, and force field employed
135	Force Fields		IDs, vendor formats	If the calculations were carried out with commercially available software, the investigator must list the source, version number, and force field employed
136	Computations		software versions, parameters, workflows	If the program is not available, commercially or otherwise, the authors must specify sufficient detail that the calculation could be reproduced
137	Spectra		numbers, tables, CSV	If the spectra are given, the wavenumbers (cm–1 ) (in descending order from left to right) or frequencies in accordance with the scale of the spectrometer are placed along the lower abscissa axis; the upper abscissa axis can reflect wavelength data (µm).
138	Powder Diffractograms		CIF, CSV, numbers, graphs, images, vendor formats	In cases of unindexed listing of the data, the d spacings of all observed lines should be listed in sequence, together with their relative intensities
139	Crystal Structure		CIF, PDB, PDBx, mmCIF	In cases where intermolecular interactions are relevant to the discussion, a view of the unit cell may be included
140	Spectra		CSV, JCAMP-DX, text, numbers, vendor formats	In describing spectra, signal types are indicated in abbreviated form: s, singlet; d, doublet; t, triplet; q, quartet; quint, quintet; and m, multiplet. Proton chemical shifts are given in the δ scale, for example, δ 5.24 m.
141	Spectra		numbers, graphs	In electron spectra, wavelengths (in nm) or wavenumbers (in cm–1 ) are given on the abscissa in ascending order from left to right.
142	Crystal Structure		CIF, PDB, PDBx, mmCIF	In many cases, X-ray diffraction may provide the most unambiguous characterization of such complexes, but this will not suffice as the only means of characterization
143	NMR Data		CSV, vendor formats	In select instances, a variety of definitive spectroscopic techniques may provide sufficient characterization (for example, if many of the nuclei are NMR active), but in the majority of cases evidence for elemental constitution must be provided by either elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
144	Microprobe Analysis		vendor data	In select instances, a variety of definitive spectroscopic techniques may provide sufficient characterization (for example, if many of the nuclei are NMR active), but in the majority of cases evidence for elemental constitution must be provided by either elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
145	Combustion Analysis		tables, CSV	In select instances, a variety of definitive spectroscopic techniques may provide sufficient characterization (for example, if many of the nuclei are NMR active), but in the majority of cases evidence for elemental constitution must be provided by either elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
146	Elemental Analysis Data		tables, CSV	In select instances, a variety of definitive spectroscopic techniques may provide sufficient characterization (for example, if many of the nuclei are NMR active), but in the majority of cases evidence for elemental constitution must be provided by either elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
147	High-resolution MS		tables, CSV, graphs, vendor formats	In select instances, a variety of definitive spectroscopic techniques may provide sufficient characterization (for example, if many of the nuclei are NMR active), but in the majority of cases evidence for elemental constitution must be provided by either elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
148	Elemental Analysis Data		tables, CSV	In the absence of an X-ray structure determination, evidence for elemental constitution must be provided by elemental analysis (e.g., combustion analysis, microprobe analysis), or mass spectrometry
149	Gas Chromatography Data		CSV, text, graphs, vendor formats	In the case of GC, the brand and model of instrument, detector, and recording conditions, i.e., temperature, length and diameter of the column, column packing, solid inert carrier, and carrier gas, should be specified
150	Crystal Structure		CIF, SDF, CML	Include a structure file that shows the structure and compound identifier for each provided dataset
151	NMR Data		CSV, text, tables, vendor formats	Include peak multiplicities for 1H-coupled 13C NMR spectra or for signals in 1H-decoupled spectra that are coupled to other magnetically active nuclei
152	NMR Data		CSV, text, tables, vendor formats	Include the number of protons represented by the signal, peak multiplicity, and coupling constants as needed (J italicized, reported with up to one digit after the decimal)
153	Crystal Structure		CIF, SDF, CML	Indicate solvent or peak suppression protocols used in collecting data
154	Crystal Structure		CIF, SDF, CML	Inorganic and organometallic compounds
155	Computations		input files, parameter files, workflows	Input/configuration files and program output
156	Binding Data		CSV, tables, numbers, vendor formats	Intermolecular and supramolecular interactions of molecular systems, binding, assembly, and interaction phenomena
157	Macromolecule Structure		PDB, PDBx, mmCIF	It is the responsibility of the author to obtain a file name (PDB ID or NDB ID) for the molecule
158	Kinetic Measurement Data		CSV, tables, numbers, graphs, vendor formats	Kinetic and Equilibrium Data
159	Surface Plasmon Resonance		CSV, tables, numbers, graphs, vendor formats	Kinetic and Equilibrium Data
160	Thermodynamic Data (ITC)		CSV, tables, numbers, graphs, vendor formats	Kinetic and Equilibrium Data
161	Thermodynamic Data (DSC)		CSV, tables, numbers, graphs, vendor formats	Kinetic and Equilibrium Data
162	Thermodynamic Data (TSA)		CSV, tables, numbers, graphs, vendor formats	Kinetic and Equilibrium Data
163	NMR Data		CSV, text, tables, vendor formats	List the nucleus being measured, any nucleus being broad-band decoupled, the solvent used (formula preferred)
164	Low-resolution Mass Spectra		tables, CSV, graphs, vendor formats	Low resolution MS data under conditions that minimize fragmentation
165	Crystal Structure		CIF, SDF, CML	Macromolecular structure and sequence data
166	Macromolecule Sequences		FASTA, FASTQ	Macromolecular structure and sequence data
167	Macromolecule Structure		mmCIF, PDB, PDBx, EDM, MAP (CCP4)	Macromolecular structure data
168	Magnetic Measurements		tables, CSV, graphs, vendor formats	Magnetic Measurements
169	Spectra (ESR)		CSV, JCAMP-DX, vendor formats	Magnetic moment and/or ESR spectroscopic data should also be given for paramagnetic compounds
170	Mass Spectra		tables, CSV, graphs, vendor formats	Mass spectra are presented as numerical values m/z and relative intensities of ion currents in a row, in order of decreasing ion mass
171	Gas Chromatography Data		CSV, text, graphs, vendor formats	Mass spectra are presented as numerical values m/z and relative intensities of ion currents in a row, in order of decreasing ion mass,  - In the case of GC, the brand and model of instrument, detector, and recording conditions, i.e., temperature, length and diameter of the column, column packing, solid inert carrier, and carrier gas, should be specified in the experimental part
172	Mass Spectra		tables, CSV, graphs, vendor formats	Mass spectral data for small chemical molecules, metabolomics, exposomics
173	Material Property Data		tables, CSV, graphs, vendor formats	Materials
174	Material Property Data		tables, CSV, graphs, vendor formats	Materials (Various)
175	Material Simulation		CIF, XYZ, VASP POSCAR, CSV, vendor formats	Materials simulation data including electronic structure and molecular dynamics
176	Assays		numbers, tables, CSV, vendor formats	Metabolite and metabolome profiling data
177	Biomolecule Sequence		FASTA, FASTQ, GenBank	Metagenomics sequence data
178	Methods		text, XML, JSON, HTML	Methods of purification used to prepare samples for characterization should be described
179	Images		images, TIFF, PNG	Microscopy
180	Spectra		CSV, text, numbers	Miscellaneous  Numerical listings of characteristic spectroscopic data should be included to support assigned structures, changes in functionality, unusual chromophores, properties, etc
181	Mathematical Models		TeX/LaTeX, Octave, Mapple, Matlab, Origin, Maxyma, Jupyter	Models of biochemical reaction networks
182	Molecular Structure		SDF, MolFile	MolFile is the recommended format and is strongly preferred
183	Molecular Weight		numbers	Molecular Weight  Evidence of molecular weight should be provided, especially if elemental analysis was not performed
184	NMR Data		CSV, text, tables, vendor formats	NMR
185	NMR Data		CSV, text, tables, vendor formats	NMR Data
186	NMR Data		CSV, text, tables, vendor formats	NMR Spectra
187	NMR Data		CSV, text, tables, vendor formats	NMR data
188	NMR Data		CSV, text, tables, vendor formats	NMR data files (FID files, acquisition data, processing parameters) is encouraged for all new and/or key compounds
189	NMR Data, FID Files		vendor formats, JCAMP-DX, nmrML	NMR data files, which outlines the procedure for submitting FID files, acquisition data, and processing parameters to include in the Supporting Information
190	NMR Data		CSV, text, tables, vendor formats	NMR files should be compressed into zip files—please use multiple zip files if necessary
191	NMR Data		CSV, text, tables, vendor formats, graphs	NMR spectra, millionths of a field (ppm) are given on the abscissa axis; the maximum signal of a solvent or a reference sample may be outside the graph field.
192	NMR Data		CSV, text, tables, vendor formats	NMR spectra, which outlines the preferred format for inclusion of hard copies of spectra in the Supporting Information
193	NMR Data		CSV, text, tables, vendor formats	NMR spectroscopy
194	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Nano-sized materials (such as quantum dots, nanoparticles, nanotubes, nanowires)
195	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Nanomaterials
196	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Novel or Unexpected Compounds
197	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Novel or Unexpected Compounds Compounds in this category are those that either (i) exhibit an unprecedented type of structure, or (ii) are obtained by unexpected reaction
198	NMR Pulse Sequences		text, tables, vendor formats	Nuclear Magnetic Resonance Pulse Sequences
199	Biomolecule Sequence		FASTA, FASTQ, GenBank, XML	Omics Data
200	Assays		FASTA, FASTQ, GenBank, XML	Omics Data
201	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Organic compounds
202	Macromolecule Structure		mmCIF, PDB, PDBx	PDB
203	Device Characterisation		CSV, text, graphs, tables, vendor formats	Perovskite Solar Cell Efficiency Measurements
204	Phenology Data		text, tables, CSV, images, graphs	Phenology data
205	Material Characterisation		CSV, text, graphs, tables, vendor formats	Polymers
206	Macromolecule Structure		mmCIF, PDB, PDBx	Polymers and macromolecules
207	Crystal Structure		CIF, mmCIF, PDB, MAP (CCP4), MTZ	Possible space groups (for Crystal Structure Prediction? S.G.)
208	Potential Energy Surfaces		tables, CSV, images, graphs	Potential Energy Surfaces
209	Powder Diffractograms		CIF, CSV, numbers, graphs, images, vendor formats	Powder Diffraction Data
210	Spectra		CSV, JCAMP-DX, text, numbers, vendor formats	Protein circular dichroism and protein synchrotron radiation circular dichroism
211	Macromolecule Sequences		FASTA, FASTQ, GebBank, UNiProt	Protein sequence data
212	Macromolecule Sequences		FASTA, FASTQ, GebBank, UNiProt	Protein sequences
213	Assays		numbers, tables, CSV, vendor formats	Protein-protein interaction data
214	Assays		numbers, tables, CSV, vendor formats	Protein-protein, protein-DNA/RNA and molecular interactions
215	Proteomics Data		numbers, tables, CSV, vendor formats, FASTA	Proteome profiling data
216	Proteomics Data		numbers, tables, CSV, vendor formats, FASTA	Proteomics Data
217	Proteomics Data		numbers, tables, CSV, vendor formats, FASTA	Proteomics data
218	Mass Spectra		tables, CSV, graphs, vendor formats, mzML	Proteomics mass spectrometry
219	NMR Data		CSV, text, tables, vendor formats	Proton chemical shifts are given in the δ scale, for example, δ 5.24 m
220	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Purity and Yield  The yield and purity of all compounds must be reported, including the methods used to determine them
221	Material Characterisation		CIF, CSV, text, graphs, tables, vendor formats	Purity of Tested Compounds
222	Assays		numbers, tables, CSV, vendor formats	QSAR/QSPR and Proprietary Data
223	Macromolecule Sequences		FASTA, FASTQ, Gene Bank, vendor formats	RNA sequence data
224	Methods		text, XML, JSON, HTML	References to the methods upon which the software is based must also be provided
225	Specimen Description		images, descriptions	Relevant information about the specimen used should be included
226	Material Characterisation		CSV, text, graphs, tables, vendor formats	Reporting of Colloidal Inorganic Nanomaterials (http://pubs.acs.org/doi/abs/10.1021/acs.chemmater.5b02323)
227	Material Characterisation		CSV, text, graphs, tables, vendor formats	Reporting on Heterogeneous Photocatalysis (http://pubs.acs.org/doi/abs/10.1021/am504389z)
228	Computations		numbers, parameters, workflows	Reproducibility of computations should be a defining goal in reporting
229	Computations		numbers, parameters, workflows	Reproducibility of computations should be a defining goal in reporting computational results
230	Spectra		CSV, JCAMP-DX, text, numbers, graphs, vendor formats	Reproductions of spectra, or the relevant segments thereof, will be published only if concise numerical summaries are inadequate for the purposes of the paper
231	Macromolecule Structure		PDB, PDBx, mmCIF	Requirements are similar for structures of nucleic acids, which should be deposited with the Nucleic Acid Database
232	Organism Description		text, XML, JSON	Research Involving Animals
233	Human Subject Description		text, XML, JSON	Research Involving Human Subjects
234	Material Characterisation		CSV, text, graphs, tables, vendor formats	Routine Compounds
235	Spectra		CSV, text, numbers, graphs	Routine infrared, electronic, NMR, and mass spectra of new compounds should be numerically summarized
236	Electron Microscopy		images	SEM, TEM, STM
237	Crystal Structure		CIF, mmCIF, PDB, MAP (CCP4), MTZ	See Requirements for Depositing X-Ray Crystallographic Data [PDF] for complete details on submission of CIFs and a list of file types accommodated by CCDC
238	Macromolecule Sequences		FASTA, FASTQ, GebBank, UNiProt	Sequence Data
239	Crystal Structure		CIF, mmCIF, PDB, MAP (CCP4), MTZ	Single Crystal Diffraction Data
240	Macromolecule Structure		PDB, PDBx, mmCIF	Small molecule, protein, protein complex data structural data
241	Material Characterisation		CSV, text, graphs, tables, vendor formats	Small-molecule screening data
242	Software		source code	Software
243	Material Characterisation		CSV, text, graphs, tables, vendor formats	Solid State Materials
244	Material Characterisation		CSV, text, graphs, tables, vendor formats	Solid State Materials Compounds in this category are those that have no existence in solution
245	Spectra		CSV, JCAMP-DX, text, numbers, vendor formats	Spectra
246	Crystal Structure		CIF, mmCIF, PDB, MAP (CCP4), MTZ	Structural Data
247	Chemical Structure		SMILES, InChI, SDF, MOL, CML	Structural Data
248	Macromolecule Structure		PDB, PDBx, mmCIF	Structural Data Biological Macromolecules
249	NMR Data		CSV, text, tables, vendor formats	Structural and Chemical Shift Data for Proteins and Nucleic Acids
250	Crystal Structure		CIF, mmCIF, PDB, MAP (CCP4), MTZ	Structure Reports in Articles
251	Crystal Structure		CIF, MTZ	Structure factors (except for proteins and nucleic acids) should not be submitted as Supporting Information
252	Spectra		images, text, DOC, DOCX, TXT, PDF, TIFF	Submission of spectra (.doc, .docx, .txt, .pdf, .tif) is strongly recommended for all new and/or key compounds
253	Material Characterisation		CSV, text, graphs, tables, vendor formats	Such compounds require more detailed characterization to ensure their validity
254	Synthesis		text, XML, reaction formats, SMILES, InChI	Sufficient experimental details must also be included to allow another researcher to reproduce the synthesis
255	Computations		numbers, workflows, source code, pseudocode	Sufficient technical details should be provided to allow a reader to reproduce the results of any calculations
256	Synthesis		text, XML, reaction formats, SMILES, InChI	Synthetic procedures
257	Mathematical Models		TeX/LaTeX, Octave, Mapple, Matlab, Origin, Maxyma, Jupyter	System models
258	TLC Data	text	images, TIFF, JPEG, PNG, text, XML, JSON	TLC; For TLC, the adsorbent, eluent, and developing reagent should be given
259	Chemical Structure		CSV	Tables of essential interatomic distances and angles are not required but may be submitted (metric information for standard  structural components should not be included)
260	Taxonomy Data	unspecified	text, XML, OWL	Taxonomy data
261	Material Simulation		numbers, CSV, CIF, vendor formats	The absolute energies in hartrees that are computed at these geometries should not be given in the manuscript but should be included in the Supporting Information
262	Compound Identifiers		SMILES, InChI, InChIKey, CAS No	The compound identifier used in the manuscript should be included
263	Mathematical Formula		LaTeX, TeX, vendor formats	The expressions may be included in the manuscript or, if long and complex, as Supporting Information
264	NMR Data		vendor formats, JCAMP-DX, nmrML, CSV, text, tables, graphs	The guidelines are divided into three sections: NMR text, which outlines the preferred format for NMR data included in the Experimental Section
265	NMR Data		CSV, text, tables, graphs	The largest peak in the 1H NMR spectrum should normally arise from the compound, not the solvent
266	Spectra (IR)		graphs, CSV	The left ordinate axis presents transmittance (%) or absorbance (for IR spectra) or intensity (for Raman spectra)
267	Spectra (Raman)		graphs, CSV	The left ordinate axis presents transmittance (%) or absorbance (for IR spectra) or intensity (for Raman spectra)
